# naive bayes classifier data set
# 1st line: column names
# subsequent lines: instances
# 1st column: class
# subsequent columns: attributes
Tennis?, Vorhersage, Temperatur, Luftfeuchtigkeit, Wind
nein, sonnig, heiss, hoch, schwach
nein, sonnig, heiss, hoch, stark
ja, bedeckt, heiss, hoch, schwach
ja, regnerisch, warm, hoch, schwach
ja, regnerisch, kalt, normal, schwach
nein, regnerisch, kalt, normal, stark
ja, bedeckt, kalt, normal, stark
nein, sonnig, warm, hoch, schwach
ja, sonnig, kalt, normal, schwach
ja, regnerisch, warm, normal, schwach
ja, sonnig, warm, normal, stark
ja, bedeckt, warm, hoch, stark
ja, bedeckt, heiss, normal, schwach
nein, regnerisch, warm, hoch, stark
